Test Name,pheno,contrast,estimate,SE,df,t.ratio,p.value
Jay Test 1,Maturity Date,N18-1956 - Checks,0.3434800221805398,0.8149544648168595,60.656073609483,0.42147142817080985,0.9999999949385974
Jay Test 1,Height (inches),LMN09-119 - Checks,4.127905345103007,1.3320611300395568,54.03908320212112,3.098885818386146,0.051106965351336964
Jay Test 1,Height (inches),N09-09 - Checks,3.9756921373798155,1.3320611300395568,54.03908320212112,2.9846168826063963,0.06996245739530971
Jay Test 1,Height (inches),N18-1572 - Checks,3.2493264991881157,1.3320611300395568,54.039083202120935,2.4393223598466713,0.2660240647641302
Jay Test 1,Height (inches),N18-1595 - Checks,0.8906973295202399,1.3320611300395566,54.039083202120935,0.6686610016867544,0.9999939044724654
Jay Test 1,Height (inches),N18-1604 - Checks,1.87052459621016,1.3320611300395566,54.039083202120935,1.4042332998295757,0.9542827388310118
Jay Test 1,Height (inches),N18-1620 - Checks,0.772189510285031,1.332061130039557,54.039083202120935,0.5796952503689526,0.9999992717132721
Jay Test 1,Height (inches),N18-1632-1 - Checks,2.5175297191297568,1.3320611300395568,54.039083202120935,1.8899505903719271,0.6759298336244969
Jay Test 1,Height (inches),N18-1632-2 - Checks,1.2861794559720545,1.332061130039557,54.039083202120935,0.965555879506716,0.9991123321793959
Jay Test 1,Height (inches),N18-1635 - Checks,2.9928698668217977,1.3320611300395566,54.039083202120935,2.2467961862477903,0.3910922833905769
Jay Test 1,Height (inches),N18-1641 - Checks,0.8493062646709356,1.3320611300395566,54.039083202120935,0.6375880547206679,0.9999969698474417
Jay Test 1,Height (inches),N18-1674 - Checks,2.608808889972808,1.3320611300395566,54.03908320212075,1.9584753515743962,0.6201152575744598
Jay Test 1,Height (inches),N18-1682 - Checks,2.2404028474852757,1.3320611300395568,54.03908320212112,1.6819069312672947,0.8279785832196729
Jay Test 1,Height (inches),N18-1731 - Checks,5.344321639704927,1.3320611300395568,54.039083202121304,4.012069355665548,0.00316575319151835
Jay Test 1,Height (inches),N18-1751 - Checks,-1.4303384139903015,1.3320611300395566,54.039083202120935,-1.0737783587663325,0.9968714932158148
Jay Test 1,Height (inches),N18-1763 - Checks,2.3688799166524914,1.3320611300395566,54.03908320212112,1.7783567609859958,0.7619898214831244
Jay Test 1,Height (inches),N18-1855 - Checks,2.615164148365967,1.3320611300395566,54.03908320212112,1.9632463476269348,0.6161889365423615
Jay Test 1,Height (inches),N18-1956 - Checks,7.0257328078014245,1.3320611300395566,54.039083202120935,5.274332122875464,4.086968986627415e-5
Jay Test 1,Lodging,LMN09-119 - Checks,0.0554410679612841,0.18259500693627206,52.78272516406762,0.3036286089719514,0.9999999999758437
Jay Test 1,Lodging,N09-09 - Checks,-0.18104212783111015,0.18259500693627206,52.7827251640678,-0.991495500719229,0.998776578900566
Jay Test 1,Lodging,N18-1572 - Checks,0.06895787216888917,0.1825950069362721,52.78272516406745,0.37765475259110626,0.9999999991455809
Jay Test 1,Lodging,N18-1595 - Checks,0.5414090695795941,0.18259500693627212,52.78272516406745,2.965081459037664,0.07435841906078255
Jay Test 1,Lodging,N18-1604 - Checks,0.8610538673139606,0.1825950069362721,52.78272516406745,4.715648482187024,3.064210797949496e-4
Jay Test 1,Lodging,N18-1620 - Checks,-0.278235728154772,0.18259500693627212,52.78272516406762,-1.5237860707323703,0.9125428184206018
Jay Test 1,Lodging,N18-1632-1 - Checks,-0.36139733009674363,0.1825950069362721,52.78272516406745,-1.9792289841905466,0.6038884213628697
Jay Test 1,Lodging,N18-1632-2 - Checks,-0.29175253236237775,0.18259500693627212,52.78272516406762,-1.597812214351529,0.8771907954258815
Jay Test 1,Lodging,N18-1635 - Checks,0.37508586569564994,0.18259500693627215,52.78272516406745,2.054195632121307,0.5422294479752221
Jay Test 1,Lodging,N18-1641 - Checks,0.6526346682849459,0.18259500693627206,52.78272516406745,3.5742196856057706,0.012854271611845602
Jay Test 1,Lodging,N18-1674 - Checks,0.4306986650483265,0.18259500693627212,52.78272516406745,2.3587647454053635,0.3157331541575753
Jay Test 1,Lodging,N18-1682 - Checks,-0.014203729773082463,0.18259500693627212,52.78272516406762,-0.0777881608670698,1
Jay Test 1,Lodging,N18-1731 - Checks,0.13911786407734067,0.18259500693627212,52.78272516406762,0.7618930353659369,0.9999608552017692
Jay Test 1,Lodging,N18-1751 - Checks,0.06895787216888978,0.18259500693627212,52.78272516406745,0.37765475259110953,0.9999999991455809
Jay Test 1,Lodging,N18-1763 - Checks,0.22227946601931226,0.1825950069362721,52.7827251640678,1.217335948824113,0.9879505412467239
Jay Test 1,Lodging,N18-1855 - Checks,-0.1389461326860396,0.18259500693627206,52.78272516406762,-0.7609525310543322,0.9999615228243419
Jay Test 1,Lodging,N18-1956 - Checks,0.5694730663429748,0.18259500693627206,52.78272516406762,3.1187767721475974,0.04881968830487693
Jay Test 1,Oil (% dry basis),LMN09-119 - Checks,-4.440833333333228,0.2923334901626167,56.999999999999595,-15.190983868673138,0
Jay Test 1,Oil (% dry basis),N09-09 - Checks,-2.678333333333232,0.2923334901626167,56.999999999999595,-9.161910706307895,1.4293122241326728e-11
